Customer Name,Customer_Pry_Addr
FEVIS BLESSED JOE INTERNATIONAL SERVICE LIMITED,"MARGARET PLAZA, BEHIND MOBILE FILLING STATION, IGBUDU MARKET
WARRI
DELTA
WARRI
NGA"
BLESSED ONYI-REX RESOURCES LIMITED,"1494 MILE 3, ULTRA-MODERN MARKET, BY BISHOP OKOYE STREET NKPOLU
Port Harcourt
Rivers
PORT HARCOURT
NGA"
PYRAMID SUPPLIES AND SERVICES LIMITED,"15, RECREATION CLUB SHOP, INDEPENDENCE WAY
KADUNA
Kaduna
KADUNA
NGA"
GODWINTHECLA NIGERIA LIMITED,"2, GBADAMOSI STREET
ILASAMAJA
LAGOS
ILASAMAJA
NGA"
AMDAT ADELEKE VENTURES,"40, DOHERTY STREET
AJEGUNLE
Lagos
LAGOS
NGA"
VALECO RAREGEM INTERNATIONAL,"96, DANFODIO ROAD, OFF EAST  ROAD
Aba
Abia
ABA
NGA"
EL-FANS GLOBAL SERVICES LIMITED,"SHOP 15-17, SLAUGHTER WAREHOUSE, RELIEF MARKET, OWERRI
OWERRI
Imo
OWERRI
NGA"
FATMAHAS VENTURES LIMITED,"SHOP 3, LINE 2, SABON TASHA MARKET, CHIKUM L.G.A KADUNA SOUTH
KADUNA
Kaduna
KADUNA
NGA"
GOOD NEWS UNIVERSAL TRADING COMPANY LIMITED,"18, AKERE STREET
OKOKOMAIKO
Lagos
OKOKOMAIKO
NGA"
PRECNIF GLOBAL VENTURE,"7, ODOFIN LANE, OFF GBOGI STREET
AKURE
Ondo
AKURE
NGA"
LARRYPEACE OWOLEWA INTERNATIONAL LIMITED,"B 18, PRINCE TAJUDEEN OLUSI SHOPPING PLAZA, EJALONIBU MARKET, EBUTE-ERO
LAGOS ISLAND
Lagos
LAGOS ISLAND
NGA"
VEEZEE AND PARTNERS LIMITED,"WAREHOUSE J6/J7 KAURA MODERN MARKET, OPPOSITE PRINCE & PRINCESS ESTATE DUBOYI
ABUJA
FCT
ABUJA
NGA"
A.Y SHETTIMA INVESTMENT,"2, KWASHARE PULKA TOWN, MUBI ROAD, GWOZA LOCAL GOVERNMENT
DAMATURU
Yobe
DAMATURU
NGA"
S.B MOGAJI GLOBAL SERVICES LIMITED,"4, NEW OFFICE COMPLEX, AT LEGISLATIVE  QUATERS, NEW YIDI ROAD
ILORIN
Kwara
ILORIN
NGA"
EURO MEGA ATLANTIC NIGERIA LIMITED,"DAILY TIMES COMPOUND, LATEEF JAKANDE ROAD, AGIDINGBI
IKEJA
LAGOS
IKEJA
NGA"
SAMNTAG NIGERIA LIMITED,"20, IDAMA PLAZA, OKUMAGBA AVENUE.
WARRI
DELTA
WARRI
NGA"
MAYUS VENTURES,"186, BEHIND OLD MOTOR PARK, MUBI MAIN MARKET.
MUBI
Adamawa
MUBI
NGA"
DOMINION FOOD VENTURES,"45 ISAWO ROAD, ADJACENT NNPC FILLING STATION, AGRIC OWUTU.
IKORODU
Lagos
IKORODU
NGA"
SCEDOO NIGERIA LIMITED,"20, HANSSON SUMEN ROAD, MDS
OSHOGBO
Osun
OSHOGBO
NGA"
TICA TECHNOLOGIES LIMITED,"51, OZOMAGALA STREET

ONITSHA
Anambra
ONITSHA
NGA"
NESDEC NIGERIA LIMITED (OIL & FATS),"50/56, ADELABU STREET, UWANI
ENUGU
Enugu
ENUGU
NGA"
ELLA MARIE NIGERIA LIMITED (OIL & FAT),"49A, AFUBERA STREET, ODAKPU
ONITSHA
Anambra
ONITSHA
NGA"
IYKMAY VENTURES (OIL & FATS),"79, TENANT ROAD
Aba
Abia
ABA
NGA"
BEKEE & SONS VENTURES,"5, PLATINUM STREET, OKEH
OYO
Oyo
OYO
NGA"
INTEGRATED AKOMS 2005 VENTURES,"1, AJOSE IDEWU STREET, ILE-EPO, ARAROMI OFF BADAGRY EXPRESSWAY
BADAGRY
Lagos
BADAGRY
NGA"
BAYSWATER INDUSTRIES LIMITED,"Plot 34, KM 38 Main Road, Lagos - Ibadan Expressway, Sango-otta
Ogun Waterside
Ogun
OGUN WATERSIDE
NGA"
OLIVER OBIORA RESOURCES LIMITED,"No 18, E Line Enamel wares Market, Laranto Jos.
JOS
Plateau
JOS
NGA"
EYINJUOLUWA NIGERIA LIMITED,"5, Ogunniyi Avenue, Federal Housing Estate, Oke-Ila
ADO EKITI
Ekiti
ADO EKITI
NGA"
NWUDO INVESTMENT.,"SHOP 5, TOFI PLAZA BEHIND ECOBANK, GBOKO MAIN MARKET
GBOKO
Benue
GBOKO
NGA"
OKEY VENTURES,"SHOP 8, TOFI PLAZA BEHIND ECOBANK, GBOKO MAIN MARKET
GBOKO
Benue
GBOKO
NGA"
BOBO-UVAMO HOTELS LIMITED,"PLOT 346, JUDES QUATERS, KM 3, GBOKO ROAD.
GBOKO
Benue
GBOKO
NGA"
ELECHUKWU & SONS NIGERIA LIMITED,"SHOP 3, TOFI PLAZA BEHIND ECOBANK, GBOKO MAIN MARKET
GBOKO
Benue
GBOKO
NGA"
GUDWAY FOODS & INTEGRATED SERVICES LIMITED,"LUSADA ATAN ROAD, OPPOSITE SIBERT FILLING STATION, BEFORE CRAWFORD UNIVERSITY, LUSADA
AGBARA
Ogun
AGBARA
nga"
ALAJIT INVESTMENT LIMITED,"5, AL-MUNASSIR BUILDING, HAUSARI WARD
DAMATURU
Yobe
DAMATURU
NGA"
ANNEVIN GLOBAL SERVICES,"11, NUPE STREET, IGBUDU MARKET,WARRI
Warri
Delta
WARRI
NGA"
GANIYAT BADMUS ENTERPRISES,"SHOPNO.4 OREOFERO SHOPPINGM.D.S AREA OSOGBO OSUN STATE

OSHOGBO
Osun
OSHOGBO
NGA"
JEREMIAH OLAWALE ADEYEMO & SON NIGERIA ENT,"OPPOSITE OLD MARKET, POST OFFICE ROAD, 
SULEJA
Niger
SULEJA
NGA"
FUNFAK NIGERIA LTD- SEMO,"7, OLAJIDE STREET, LIASU ROAD, COUNCIL IDIMU
LAGOS
NIGERIA
IDIMU
LAGOS
IDIMU
NGA"
ECOPEAKS LIMITED,"14, EBUN STREET OFF OGUNLANA DRIVE
Surulere
Lagos
SURULERE
NGA"
MIGINI GENERAL MERCHANTS,"J211, MAIN MARKET
GOMBE
GOMBE
GOMBE
NGA"
